Model,MRR,Hits@1,Hits@3,Hits@10,Head_MRR,Tail_MRR,Head_Hits@10,Tail_Hits@10
TransE,0.01727454923093319,0.004577157802964254,0.018199651264167394,0.03683522231909329,0.0130572859197855,0.02149181067943573,0.033347863993025285,0.04032258064516129
ComplEx,8.388128480874002e-05,0.0,0.0,0.0,9.549262904329225e-05,7.22699478501454e-05,0.0,0.0
